Kommune-nummer,Kommune-navn,Antall Barnehagebarn
301,Oslo,35001
4601,Bergen,14485
5001,Trondheim,10295
1103,Stavanger,7338
3201,Bærum,7105
4204,Kristiansand,5807
3203,Asker,5156
3301,Drammen,4746
1108,Sandnes,4718
3205,Lillestrøm,4452
5501,Tromsø,3768
3107,Fredrikstad,3688
3207,Nordre Follo,3353
3907,Sandefjord,2988
1508,Ålesund,2947
3222,Lørenskog,2830
3105,Sarpsborg,2748
3905,Tønsberg,2695
4003,Skien,2633
1804,Bodø,2551
3209,Ullensaker,2297
1149,Karmøy,2288
3103,Moss,2215
3118,Indre Østfold,2148
3909,Larvik,2110
4626,Øygarden,2085
4203,Arendal,2071
1106,Haugesund,1876
1124,Sola,1708
4001,Porsgrunn,1683
3411,Ringsaker,1658
4627,Askøy,1648
1506,Molde,1644
3312,Lier,1521
3240,Eidsvoll,1468
4631,Alver,1445
3403,Hamar,1434
4624,Bjørnafjorden,1415
3232,Nittedal,1362
3101,Halden,1342
3405,Lillehammer,1335
3305,Ringerike,1329
3228,Nes,1300
3407,Gjøvik,1291
3903,Holmestrand,1281
1120,Klepp,1242
3303,Kongsberg,1233
4202,Grimstad,1230
5503,Harstad,1224
4647,Sunnfjord,1212
3911,Færder,1201
5035,Stjørdal,1180
5601,Alta,1173
3218,Ås,1164
3224,Rælingen,1140
1833,Rana,1125
1121,Time,1124
1119,Hå,1114
3901,Horten,1102
3413,Stange,1080
5006,Steinkjer,1073
4205,Lindesnes,1070
3216,Vestby,1064
3212,Nesodden,1058
1505,Kristiansund,1044
4614,Stord,1040
5037,Levanger,1022
3314,Øvre Eiker,1012
3420,Elverum,945
5028,Melhus,920
1806,Narvik,913
3238,Nannestad,871
4621,Voss,824
4223,Vennesla,823
3226,Aurskog-Høland,820
5059,Orkland,819
1130,Strand,787
5031,Malvik,783
4602,Kinn,782
1122,Gjesdal,757
1101,Eigersund,753
4640,Sogndal,732
5038,Verdal,717
3401,Kongsvinger,708
5007,Namsos,677
1146,Tysvær,665
5530,Senja,663
3214,Frogn,657
1824,Vefsn,642
4613,Bømlo,639
4617,Kvinnherad,628
3316,Modum,624
4012,Bamble,623
1127,Randaberg,617
1579,Hustadvika,617
3442,Østre Toten,607
1531,Sula,564
5060,Nærøysund,561
4005,Notodden,561
1577,Volda,559
3443,Vestre Toten,558
1520,Ørsta,556
1860,Vestvågøy,539
4215,Lillesand,537
1870,Sortland,530
1532,Giske,517
5057,Ørland,511
3220,Enebakk,510
4225,Lyngdal,508
5603,Hammerfest,507
3446,Gran,502
1516,Ulstein,494
4649,Stad,482
4207,Flekkefjord,479
4618,Ullensvang,465
1515,Herøy (Møre og Romsdal),464
4020,Midt-Telemark,460
1160,Vindafjord,460
4206,Farsund,456
3234,Lunner,449
5029,Skaun,448
1580,Haram,431
5605,Sør-Varanger,430
1841,Fauske,419
1865,Vågan,414
5054,Indre Fosen,409
4622,Kvam,409
5021,Oppdal,409
4630,Osterøy,409
1866,Hadsel,397
3120,Rakkestad,380
4014,Kragerø,370
3412,Løten,363
3230,Gjerdrum,360
3112,Råde,359
3114,Våler (Østfold),357
1820,Alstahaug,351
3415,Sør-Odal,334
1813,Brønnøy,333
4214,Froland,332
